mechanism op latency
DTU-sleep Suspend 12
DTU-sleep Wakeup 11
DTU-sleep Suspend 12
DTU-sleep Wakeup 11
DTU-sleep Suspend 12
DTU-sleep Wakeup 11
DTU-sleep Suspend 12
DTU-sleep Wakeup 11
DTU-sleep Suspend 12
DTU-sleep Wakeup 11
DTU-sleep Suspend 12
DTU-sleep Wakeup 11
DTU-sleep Suspend 12
DTU-sleep Wakeup 11
DTU-sleep Suspend 12
DTU-sleep Wakeup 11
DTU-sleep Suspend 12
DTU-sleep Wakeup 11
DTU-sleep Suspend 12
DTU-sleep Wakeup 11
DTU-sleep Suspend 12
DTU-sleep Wakeup 11
DTU-sleep Suspend 12
DTU-sleep Wakeup 11
DTU-sleep Suspend 12
DTU-sleep Wakeup 11
DTU-sleep Suspend 12
DTU-sleep Wakeup 11
DTU-sleep Suspend 12
DTU-sleep Wakeup 11
DTU-sleep Suspend 12
DTU-sleep Wakeup 11
DTU-sleep Suspend 12
DTU-sleep Wakeup 11
DTU-sleep Suspend 12
DTU-sleep Wakeup 11
DTU-sleep Suspend 12
DTU-sleep Wakeup 11
DTU-sleep Suspend 12
DTU-sleep Wakeup 11
DTU-sleep Suspend 12
DTU-sleep Wakeup 11
DTU-sleep Suspend 12
DTU-sleep Wakeup 11
DTU-sleep Suspend 12
DTU-sleep Wakeup 11
DTU-sleep Suspend 12
DTU-sleep Wakeup 11
umwait Suspend 37
umwait Wakeup 6
umwait Suspend 37
umwait Wakeup 6
umwait Suspend 37
umwait Wakeup 6
umwait Suspend 37
umwait Wakeup 6
umwait Suspend 37
umwait Wakeup 6
umwait Suspend 37
umwait Wakeup 6
umwait Suspend 37
umwait Wakeup 6
umwait Suspend 37
umwait Wakeup 6
umwait Suspend 37
umwait Wakeup 6
umwait Suspend 37
umwait Wakeup 6
umwait Suspend 37
umwait Wakeup 6
umwait Suspend 37
umwait Wakeup 6
umwait Suspend 37
umwait Wakeup 6
umwait Suspend 37
umwait Wakeup 6
umwait Suspend 37
umwait Wakeup 6
umwait Suspend 37
umwait Wakeup 6
umwait Suspend 37
umwait Wakeup 6
umwait Suspend 37
umwait Wakeup 6
umwait Suspend 37
umwait Wakeup 6
umwait Suspend 37
umwait Wakeup 6
umwait Suspend 37
umwait Wakeup 6
umwait Suspend 37
umwait Wakeup 6
umwait Suspend 37
umwait Wakeup 6
umwait Suspend 37
umwait Wakeup 6
umwait Suspend 37
umwait Wakeup 6
umwait Suspend 37
umwait Wakeup 6
umwait Suspend 37
umwait Wakeup 6
umwait Suspend 37
umwait Wakeup 6
umwait Suspend 37
umwait Wakeup 6
umwait Suspend 37
umwait Wakeup 6
umwait Suspend 37
umwait Wakeup 6
umwait Suspend 37
umwait Wakeup 6
umwait Suspend 37
umwait Wakeup 6
umwait Suspend 37
umwait Wakeup 6
umwait Suspend 37
umwait Wakeup 6
umwait Suspend 37
umwait Wakeup 6
umwait Suspend 37
umwait Wakeup 6
umwait Suspend 37
umwait Wakeup 6
umwait Suspend 37
umwait Wakeup 6
umwait Suspend 37
umwait Wakeup 6
umwait Suspend 37
umwait Wakeup 6
umwait Suspend 37
umwait Wakeup 6
umwait Suspend 37
umwait Wakeup 6
umwait Suspend 37
umwait Wakeup 6
umwait Suspend 37
umwait Wakeup 6
umwait Suspend 37
umwait Wakeup 6
umwait Suspend 37
umwait Wakeup 6
umwait Suspend 37
umwait Wakeup 6
umwait Suspend 37
umwait Wakeup 6
umwait Suspend 37
umwait Wakeup 6
umwait Suspend 37
umwait Wakeup 6
umwait Suspend 37
umwait Wakeup 6
umwait Suspend 37
umwait Wakeup 6
umwait Suspend 37
umwait Wakeup 6
umwait Suspend 37
umwait Wakeup 6
umwait Suspend 37
umwait Wakeup 6
umwait Suspend 37
umwait Wakeup 6
umwait Suspend 37
umwait Wakeup 6
umwait Suspend 37
umwait Wakeup 6
umwait Suspend 37
umwait Wakeup 6
umwait Suspend 37
umwait Wakeup 6
umwait Suspend 37
umwait Wakeup 6
umwait Suspend 37
umwait Wakeup 6
umwait Suspend 37
umwait Wakeup 6
umwait Suspend 37
umwait Wakeup 6
umwait Suspend 37
umwait Wakeup 6
umwait Suspend 37
umwait Wakeup 6
umwait Suspend 37
umwait Wakeup 6
umwait Suspend 37
umwait Wakeup 6
umwait Suspend 37
umwait Wakeup 6
umwait Suspend 37
umwait Wakeup 6
umwait Suspend 37
umwait Wakeup 6
umwait Suspend 37
umwait Wakeup 6
umwait Suspend 37
umwait Wakeup 6
umwait Suspend 37
umwait Wakeup 6
umwait Suspend 37
umwait Wakeup 6
umwait Suspend 37
umwait Wakeup 6
umwait Suspend 37
umwait Wakeup 6
umwait Suspend 37
umwait Wakeup 6
umwait Suspend 37
umwait Wakeup 6
umwait Suspend 37
umwait Wakeup 6
umwait Suspend 37
umwait Wakeup 6
umwait Suspend 37
umwait Wakeup 6
umwait Suspend 37
umwait Wakeup 6
umwait Suspend 37
umwait Wakeup 6
umwait Suspend 37
umwait Wakeup 6
umwait Suspend 37
umwait Wakeup 6
umwait Suspend 37
umwait Wakeup 6
umwait Suspend 37
umwait Wakeup 6
umwait Suspend 37
umwait Wakeup 6
umwait Suspend 37
umwait Wakeup 6
umwait Suspend 37
umwait Wakeup 6
umwait Suspend 37
umwait Wakeup 6
umwait Suspend 37
umwait Wakeup 6
umwait Suspend 37
umwait Wakeup 6
umwait Suspend 37
umwait Wakeup 6
umwait Suspend 37
umwait Wakeup 6
umwait Suspend 37
umwait Wakeup 6
umwait Suspend 37
umwait Wakeup 6
umwait Suspend 37
umwait Wakeup 6
umwait Suspend 37
umwait Wakeup 6
umwait Suspend 37
umwait Wakeup 6
umwait Suspend 37
umwait Wakeup 6
umwait Suspend 37
umwait Wakeup 6
umwait Suspend 37
umwait Wakeup 6
mwait Wakeup 181
mwait Suspend 250
mwait Wakeup 181
mwait Suspend 250
mwait Wakeup 181
mwait Suspend 250
mwait Wakeup 181
mwait Suspend 250
mwait Wakeup 181
mwait Suspend 250
mwait Wakeup 181
mwait Suspend 250
mwait Wakeup 181
mwait Suspend 250
mwait Wakeup 181
mwait Suspend 250
mwait Wakeup 181
mwait Suspend 250
mwait Wakeup 181
mwait Suspend 250
mwait Wakeup 181
mwait Suspend 250
mwait Wakeup 181
mwait Suspend 250
mwait Wakeup 181
mwait Suspend 250
mwait Wakeup 181
mwait Suspend 250
mwait Wakeup 181
mwait Suspend 250
mwait Wakeup 181
mwait Suspend 250
mwait Wakeup 181
mwait Suspend 250
mwait Wakeup 181
mwait Suspend 250
mwait Wakeup 181
mwait Suspend 250
mwait Wakeup 181
mwait Suspend 250
mwait Wakeup 181
mwait Suspend 250
mwait Wakeup 181
mwait Suspend 250
mwait Wakeup 181
mwait Suspend 250
mwait Wakeup 181
mwait Suspend 250
mwait Wakeup 181
mwait Suspend 250
mwait Wakeup 181
mwait Suspend 250
mwait Wakeup 181
mwait Suspend 250
mwait Wakeup 181
mwait Suspend 250
mwait Wakeup 181
mwait Suspend 250
mwait Wakeup 181
mwait Suspend 250
mwait Wakeup 181
mwait Suspend 250
mwait Wakeup 181
mwait Suspend 250
mwait Wakeup 181
mwait Suspend 250
mwait Wakeup 181
mwait Suspend 250
mwait Wakeup 181
mwait Suspend 250
mwait Wakeup 181
mwait Suspend 250
mwait Wakeup 181
mwait Suspend 250
mwait Wakeup 181
mwait Suspend 250
mwait Wakeup 181
mwait Suspend 250
mwait Wakeup 181
mwait Suspend 250
mwait Wakeup 181
mwait Suspend 250
mwait Wakeup 181
mwait Suspend 250
mwait Wakeup 181
mwait Suspend 250
mwait Wakeup 181
mwait Suspend 250
mwait Wakeup 181
mwait Suspend 250
mwait Wakeup 181
mwait Suspend 250
mwait Wakeup 181
mwait Suspend 250
mwait Wakeup 181
mwait Suspend 250
mwait Wakeup 181
mwait Suspend 250
mwait Wakeup 181
mwait Suspend 250
mwait Wakeup 181
mwait Suspend 250
mwait Wakeup 181
mwait Suspend 250
mwait Wakeup 181
mwait Suspend 250
mwait Wakeup 181
mwait Suspend 250
mwait Wakeup 181
mwait Suspend 250
mwait Wakeup 181
mwait Suspend 250
mwait Wakeup 181
mwait Suspend 250
mwait Wakeup 181
mwait Suspend 250
mwait Wakeup 181
mwait Suspend 250
mwait Wakeup 180
mwait Suspend 250
mwait Wakeup 181
mwait Suspend 250
mwait Wakeup 181
mwait Suspend 250
mwait Wakeup 181
mwait Suspend 250
mwait Wakeup 181
mwait Suspend 250
mwait Wakeup 181
mwait Suspend 250
mwait Wakeup 181
mwait Suspend 250
mwait Wakeup 181
mwait Suspend 250
mwait Wakeup 181
mwait Suspend 250
mwait Wakeup 181
mwait Suspend 250
mwait Wakeup 181
mwait Suspend 250
mwait Wakeup 181
mwait Suspend 250
mwait Wakeup 11340
mwait Suspend 271
mwait Wakeup 183
mwait Suspend 266
mwait Wakeup 180
mwait Suspend 250
mwait Wakeup 181
mwait Suspend 250
mwait Wakeup 181
mwait Suspend 250
mwait Wakeup 181
mwait Suspend 250
mwait Wakeup 181
mwait Suspend 250
mwait Wakeup 181
mwait Suspend 250
mwait Wakeup 181
mwait Suspend 250
mwait Wakeup 181
mwait Suspend 250
mwait Wakeup 181
mwait Suspend 250
mwait Wakeup 181
mwait Suspend 250
mwait Wakeup 181
mwait Suspend 250
mwait Wakeup 181
mwait Suspend 250
mwait Wakeup 181
mwait Suspend 250
mwait Wakeup 181
mwait Suspend 250
mwait Wakeup 181
mwait Suspend 250
mwait Wakeup 181
mwait Suspend 250
mwait Wakeup 181
mwait Suspend 250
mwait Wakeup 181
mwait Suspend 250
mwait Wakeup 181
mwait Suspend 250
mwait Wakeup 181
mwait Suspend 250
mwait Wakeup 181
mwait Suspend 250
mwait Wakeup 181
mwait Suspend 250
mwait Wakeup 181
mwait Suspend 250
mwait Wakeup 181
mwait Suspend 250
mwait Wakeup 181
mwait Suspend 250
mwait Wakeup 181
mwait Suspend 250
mwait Wakeup 180
mwait Suspend 250
mwait Wakeup 181
mwait Suspend 250
mwait Wakeup 181
mwait Suspend 250
mwait Wakeup 181
mwait Suspend 250
mwait Wakeup 181
mwait Suspend 250
mwait Wakeup 181
mwait Suspend 250
mwait Wakeup 181
mwait Suspend 250
mwait Wakeup 181
mwait Suspend 250
mwait Wakeup 181
mwait Suspend 250
mwait Wakeup 181
mwait Suspend 250
mwait Wakeup 181
mwait Suspend 250
mwait Wakeup 185
